client_id;birth_number;district_id;gender
1;19701213;18;F
2;19450204;1;M
3;19401009;1;F
4;19561201;5;M
5;19600703;5;F
6;19190922;12;M
7;19290125;15;M
8;19380221;51;F
9;19351016;60;M
10;19430501;57;M
11;19500822;57;F
12;19810220;40;M
13;19740529;54;F
14;19420622;76;F
15;19180828;21;F
16;19190225;21;M
17;19341013;76;M
18;19310405;76;F
19;19421228;47;M
20;19790104;46;M
21;19521029;12;F
22;19691011;1;F
23;19730529;1;M
24;19390729;43;F
25;19390423;21;F
26;19690420;74;F
27;19660326;54;F
28;19450929;1;M
29;19510911;30;F
30;19571009;74;F
31;19620209;68;M
32;19800728;52;M
33;19481204;73;F
36;19780717;7;F
37;19700810;7;M
38;19730723;36;F
39;19680125;68;M
40;19570122;5;F
41;19680827;22;M
42;19350817;68;M
43;19201028;75;M
44;19770111;38;F
45;19520826;20;M
46;19400130;19;F
47;19340714;76;M
48;19400209;16;M
49;19590511;72;F
50;19780730;39;F
51;19791202;36;F
52;19241212;32;M
53;19770505;64;M
55;19480918;45;F
56;19600331;21;M
57;19611217;21;F
58;19270429;1;F
59;19570218;1;M
60;19800219;67;M
61;19480806;16;F
62;19321208;77;M
63;19590604;4;M
64;19260422;20;M
65;19430527;50;F
66;19511110;1;F
67;19321111;29;F
68;19461214;43;M
70;19251222;70;M
71;19270206;70;F
72;19230113;47;M
73;19240220;22;M
74;19250726;22;F
75;19770919;64;F
76;19671001;36;F
77;19560218;1;F
78;19440613;16;F
79;19690310;37;F
80;19790225;64;F
81;19760429;8;M
82;19791225;8;F
83;19781225;1;F
84;19790505;1;M
85;19610827;1;M
86;19690720;1;F
87;19461117;72;F
89;19510505;1;F
90;19750817;52;M
91;19400807;63;M
92;19660612;74;F
93;19250216;3;M
94;19470909;43;M
95;19520803;43;F
96;19720229;74;M
97;19651128;26;M
98;19730504;33;F
99;19730126;33;M
100;19420811;44;F
101;19430123;68;M
102;19580910;74;F
103;19550711;74;M
105;19800526;31;M
106;19681230;68;F
107;19720623;1;M
108;19630913;17;M
110;19670413;2;F
112;19350125;1;M
113;19400815;1;F
114;19690624;74;F
115;19691224;74;M
116;19420128;74;M
117;19360920;74;F
118;19220719;55;M
119;19220228;55;F
120;19760510;1;M
121;19781029;41;F
122;19631113;35;F
123;19690212;11;M
124;19670921;44;M
125;19361031;37;M
126;19290927;37;F
127;19501227;21;F
128;19730404;63;F
129;19470531;64;F
130;19420214;53;M
131;19770131;53;F
132;19530126;36;M
134;19320118;6;M
135;19380910;6;F
136;19210126;55;F
137;19230914;60;M
138;19721021;54;F
139;19590725;8;F
140;19610606;8;M
141;19251102;31;M
142;19370621;68;M
143;19780709;27;M
144;19581206;65;M
145;19780214;55;M
146;19611219;31;F
147;19331102;21;F
148;19401225;21;M
149;19480627;55;M
150;19800927;2;F
151;19710923;51;F
152;19451202;29;F
153;19810212;13;F
154;19330827;74;M
155;19390313;74;F
156;19300722;54;F
157;19430709;52;F
158;19450703;40;F
159;19380910;40;M
160;19420426;64;F
161;19431007;34;F
162;19411017;65;M
163;19330612;74;M
164;19620404;70;F
165;19681108;22;M
166;19611022;22;F
167;19780418;38;F
168;19761105;24;F
169;19530912;38;M
170;19460616;38;F
171;19290625;51;M
172;19351005;51;F
173;19181208;21;F
174;19781110;10;M
175;19600713;31;M
176;19290311;4;M
178;19601222;8;M
179;19801229;43;M
180;19820119;73;M
181;19670706;76;M
182;19590713;76;F
183;19780319;1;F
184;19720605;1;M
185;19540530;77;M
186;19610222;46;F
187;19420823;58;M
188;19600902;64;M
189;19190810;11;M
190;19471031;37;F
191;19540903;37;M
192;19710228;70;M
193;19620501;1;M
194;19241220;28;F
195;19191118;74;M
196;19270625;74;F
197;19330425;30;M
198;19760714;60;M
199;19230621;29;M
200;19280113;29;F
201;19300819;17;F
202;19761121;29;F
203;19620610;31;M
204;19670617;31;F
205;19420615;4;F
206;19630413;59;F
207;19320520;46;M
208;19400625;13;F
209;19350820;13;M
210;19391130;66;M
211;19450628;66;F
212;19750210;52;M
215;19670924;71;M
216;19600130;1;M
217;19741222;59;F
218;19800123;1;F
219;19640402;60;F
221;19770225;21;F
222;19720629;47;F
223;19520227;43;F
224;19550511;77;M
225;19360510;32;M
226;19420616;1;M
227;19261218;52;F
228;19560316;48;F
229;19690722;76;M
230;19670310;74;F
231;19410218;41;M
232;19210617;55;F
233;19581203;69;F
234;19550621;69;M
235;19430828;44;F
236;19610901;70;M
237;19690222;70;F
238;19611128;6;F
239;19740910;1;F
240;19290617;34;F
241;19590123;70;M
242;19610801;17;F
243;19540210;63;M
246;19701228;67;F
247;19570508;1;M
248;19691212;61;F
249;19700505;61;M
250;19791125;8;F
251;19760303;54;F
252;19690901;37;F
253;19470512;48;F
254;19630530;28;M
255;19511011;27;F
256;19630227;73;F
257;19421104;22;F
258;19370531;22;M
259;19660608;31;M
260;19620224;31;F
261;19371207;38;F
262;19451125;77;M
263;19620520;68;M
264;19780822;28;M
265;19330107;72;F
266;19670828;19;F
267;19670612;37;M
268;19820502;39;F
269;19231203;15;F
270;19470308;46;M
271;19450727;46;F
272;19441025;70;F
273;19720515;27;F
274;19701125;17;F
275;19181112;1;F
276;19570611;1;M
277;19611128;1;F
278;19721227;22;F
279;19700516;22;M
280;19691218;45;F
282;19380224;73;F
283;19331104;73;M
284;19740806;10;M
285;19540603;72;M
286;19520418;72;F
287;19800909;50;M
288;19620421;6;M
289;19580327;54;M
290;19590112;72;M
291;19550427;72;F
292;19580906;15;F
293;19430927;69;M
294;19680321;58;M
295;19390327;12;M
296;19740301;65;M
297;19240315;65;F
298;19210613;65;M
300;19570730;1;F
301;19420110;28;M
302;19710223;56;M
303;19460506;74;M
304;19340311;19;F
305;19380608;46;M
308;19760612;68;F
309;19691214;37;F
310;19500416;11;M
311;19300916;64;F
312;19240703;2;M
313;19420511;24;F
314;19450322;24;M
315;19670501;54;M
316;19550428;75;M
317;19571006;64;F
318;19430402;15;F
319;19290404;19;F
320;19341112;19;M
321;19431024;47;F
322;19330201;38;M
323;19380404;38;F
324;19601203;3;M
325;19600221;3;M
326;19670918;27;F
327;19681013;27;M
328;19180124;1;F
329;19641203;11;M
330;19440805;65;F
331;19420302;1;M
332;19780725;29;M
333;19711019;38;M
334;19691031;32;M
335;19670722;73;F
336;19640211;39;F
337;19570508;39;M
338;19510619;8;F
339;19660730;1;M
340;19700819;1;F
341;19770316;69;M
342;19720630;69;F
343;19191119;44;M
344;19630716;54;F
345;19531207;17;M
346;19601102;17;F
347;19591213;71;M
348;19530124;71;F
349;19270527;39;F
350;19250402;25;F
351;19730501;1;M
352;19400827;56;M
353;19651026;7;M
354;19220427;49;F
355;19300531;49;M
356;19791207;1;F
357;19790330;1;M
358;19590626;7;F
359;19700216;66;M
360;19430427;49;M
361;19770525;74;F
362;19500427;35;F
363;19420701;35;M
364;19421205;54;F
365;19300109;1;M
366;19361110;1;F
367;19630903;60;F
368;19681014;60;M
369;19301106;7;F
370;19560105;71;F
371;19420716;4;M
372;19320403;34;M
373;19360228;16;M
374;19670614;26;M
375;19690929;61;F
376;19730108;14;F
378;19780515;50;M
379;19831013;50;F
380;19730119;41;M
381;19770126;73;F
382;19780630;73;M
383;19390517;15;F
384;19351008;15;M
385;19480324;45;M
386;19800821;62;M
387;19270606;76;M
388;19501030;36;F
389;19740630;47;F
390;19770127;47;F
391;19330522;47;F
392;19500401;74;F
393;19560831;74;M
394;19240518;52;F
395;19190705;52;M
396;19200502;1;M
397;19300327;75;M
398;19250326;61;F
399;19520414;45;M
400;19331227;1;M
401;19281119;1;F
402;19431225;3;M
403;19730526;42;F
404;19670420;42;M
405;19341019;65;F
406;19770515;36;M
407;19750527;73;F
408;19780222;35;F
409;19250618;74;M
410;19621220;62;M
411;19410414;17;F
412;19440417;17;M
413;19721118;49;F
414;19471019;46;F
415;19450401;46;M
416;19321007;1;F
417;19300610;1;M
418;19661013;28;M
419;19701007;64;F
420;19780313;18;M
421;19650731;54;M
422;19461207;69;M
423;19570623;37;M
424;19471008;1;M
425;19480212;25;M
426;19370601;72;M
427;19410914;72;F
428;19191116;47;F
429;19810120;50;F
430;19200728;39;M
431;19271001;24;F
432;19520326;59;F
433;19550207;62;M
434;19430130;70;F
435;19671023;20;M
436;19550615;2;M
437;19200117;11;F
438;19380928;32;M
439;19680912;51;F
440;19700707;15;F
441;19590914;1;M
442;19711216;1;F
443;19711220;1;M
444;19600801;74;F
445;19470427;1;F
446;19520319;1;M
447;19460904;23;M
448;19700815;77;F
450;19531127;25;M
451;19790414;12;M
452;19531022;55;F
453;19690716;67;M
454;19490615;38;F
455;19200726;68;M
456;19400228;25;M
457;19500926;70;M
458;19610724;68;M
459;19670723;32;F
461;19700813;68;F
462;19701221;14;M
463;19440405;38;M
464;19590730;24;F
465;19520901;5;M
466;19471119;1;F
467;19500417;1;M
468;19590427;72;M
469;19701013;59;F
470;19540421;30;F
471;19770111;44;M
472;19811227;36;M
473;19390925;1;F
474;19490531;46;M
476;19470601;1;F
477;19540720;1;M
478;19780621;21;M
479;19470820;11;M
480;19460124;11;F
481;19270122;69;M
482;19340122;69;F
483;19440619;1;M
484;19590913;28;F
485;19780516;32;M
486;19440412;68;M
487;19220401;1;F
488;19170802;1;M
489;19401007;41;M
490;19501023;55;M
491;19660805;63;M
492;19351026;72;M
493;19420604;41;F
494;19800519;1;M
495;19370407;49;F
496;19510521;70;F
497;19530202;74;M
498;19480115;74;F
499;19350708;18;F
500;19710106;1;M
501;19371028;62;M
502;19191208;6;M
503;19590724;73;M
504;19790801;36;M
505;19771221;13;M
506;19460816;75;M
507;19541116;75;M
508;19710428;53;M
509;19800502;73;M
510;19760415;12;M
511;19590218;9;M
512;19650803;60;F
513;19740111;8;F
514;19681115;8;M
